Name,Surname,Gender,Month of Birth,Year of Birth,Birth Department,Birth Commune,Email
JANE,CHEVALLIER,women,July,1976,Ariège,MONESPLE,CHEVALLIER.JANE@gmail.com
RENEE,BONNET,man,May,1984,Vienne,CHARROUX,BONNET.RENEE@gmail.com
LEONTINE,PUJOL,women,August,2004,Puy-de-Dôme,CHAMALIERES,PUJOL.LEONTINE@gmail.com
EMERIC,RENOU,man,June,1967,Seine-Maritime,PETIT CAUX,RENOU.EMERIC@gmail.com
ISAAC,MARCHAL,man,December,2001,Seine-Maritime,PETIT CAUX,MARCHAL.ISAAC@gmail.com
MARINA,NICOLAS,women,July,1971,Seine-Maritime,PETIT CAUX,NICOLAS.MARINA@gmail.com
ANGELIQUE,PIQUET,women,May,1979,Seine-Maritime,PETIT CAUX,PIQUET.ANGELIQUE@gmail.com
MARCEL,BOUDET,man,Mars,1992,Seine-Maritime,PETIT CAUX,BOUDET.MARCEL@gmail.com
PAULA,LEMARCHAND,women,Mars,2009,Seine-Maritime,PETIT CAUX,LEMARCHAND.PAULA@gmail.com
MESSAOUD,COLIN,women,September,1987,Seine-Maritime,PETIT CAUX,COLIN.MESSAOUD@gmail.com
VALENTINE,GILBERT,man,Mars,1963,Seine-Maritime,PETIT CAUX,GILBERT.VALENTINE@gmail.com
REINE,PERRET,man,October,1951,Seine-Maritime,PETIT CAUX,PERRET.REINE@gmail.com
LUCILE,AUBERT,man,February,1971,Seine-Maritime,PETIT CAUX,AUBERT.LUCILE@gmail.com
ANTOINETTE,CHARPENTIER,women,September,1984,Seine-Maritime,PETIT CAUX,CHARPENTIER.ANTOINETTE@gmail.com
VINCENT,LABBE,man,July,2010,Seine-Maritime,PETIT CAUX,LABBE.VINCENT@gmail.com
ALFRED,LOUIS,women,April,2000,Seine-Maritime,PETIT CAUX,LOUIS.ALFRED@gmail.com
KAMAL,OGER,man,September,1957,Seine-Maritime,PETIT CAUX,OGER.KAMAL@gmail.com
KLEBER,DUMONT,man,August,2017,Seine-Maritime,PETIT CAUX,DUMONT.KLEBER@gmail.com
LESLIE,PERRON,women,January,2009,Seine-Maritime,PETIT CAUX,PERRON.LESLIE@gmail.com
RAYMONDE,BOULET,women,November,1950,Seine-Maritime,PETIT CAUX,BOULET.RAYMONDE@gmail.com
MOURAD,TESSIER,women,June,1995,Seine-Maritime,PETIT CAUX,TESSIER.MOURAD@gmail.com
NABIL,MIGNOT,man,June,1980,Puy-de-Dôme,LE CHEIX,MIGNOT.NABIL@gmail.com
JOSE,CHARPENTIER,women,September,1963,Drôme,MONTFERRAND LA FARE,CHARPENTIER.JOSE@gmail.com
STEEVE,BLANCHARD,man,April,1966,Doubs,MALANS,BLANCHARD.STEEVE@gmail.com
ADELAIDE,CARTIER,women,September,1985,Côte-d'Or,COLLONGES ET PREMIERES,CARTIER.ADELAIDE@gmail.com
AIMEE,FOUCAULT,women,July,2008,Côte-d'Or,COLLONGES ET PREMIERES,FOUCAULT.AIMEE@gmail.com
ROXANE,BEAUFILS,man,April,1958,Ille-et-Vilaine,MONTGERMONT,BEAUFILS.ROXANE@gmail.com
ROSE,TECHER,man,April,1976,Allier,COULEUVRE,TECHER.ROSE@gmail.com
GUSTAVE,ALVAREZ,women,April,2015,Eure,ROUGEMONTIERS,ALVAREZ.GUSTAVE@gmail.com
REGINE,LEON,man,October,1952,Côte-d'Or,COURBAN,LEON.REGINE@gmail.com
GILDAS,JOLY,man,September,1983,Aude,MAZUBY,JOLY.GILDAS@gmail.com
CYNTHIA,DUPRE,women,January,2010,Moselle,BELLES FORETS,DUPRE.CYNTHIA@gmail.com
JUDITH,GARNIER,man,October,1972,Moselle,BELLES FORETS,GARNIER.JUDITH@gmail.com
VALENTIN,TISSERAND,man,November,1974,Moselle,BELLES FORETS,TISSERAND.VALENTIN@gmail.com
MAGALIE,CHAUVIN,man,August,1951,Aveyron,MONTFRANC,CHAUVIN.MAGALIE@gmail.com
DIEGO,BEAUFILS,women,September,1961,Haute-Marne,MANOIS,BEAUFILS.DIEGO@gmail.com
TATIANA,ROLAND,man,August,1982,Maine-et-Loire,MAUGES SUR LOIRE,ROLAND.TATIANA@gmail.com
VLADIMIR,SCHMITT,man,June,1959,Maine-et-Loire,MAUGES SUR LOIRE,SCHMITT.VLADIMIR@gmail.com
IVAN,BODIN,women,November,2017,Maine-et-Loire,MAUGES SUR LOIRE,BODIN.IVAN@gmail.com
MELODIE,RAMBAUD,women,October,1954,Maine-et-Loire,MAUGES SUR LOIRE,RAMBAUD.MELODIE@gmail.com
JOHAN,GUILLOU,man,October,1994,Maine-et-Loire,MAUGES SUR LOIRE,GUILLOU.JOHAN@gmail.com
REMI,GALLAND,women,January,2003,Maine-et-Loire,MAUGES SUR LOIRE,GALLAND.REMI@gmail.com
EMILIE,CHAUVET,women,April,2007,Maine-et-Loire,MAUGES SUR LOIRE,CHAUVET.EMILIE@gmail.com
CHRISTOPHER,LANG,man,August,1980,Maine-et-Loire,MAUGES SUR LOIRE,LANG.CHRISTOPHER@gmail.com
AXEL,MOUTON,man,September,2006,Maine-et-Loire,MAUGES SUR LOIRE,MOUTON.AXEL@gmail.com
ANN,BOUQUET,man,August,1966,Maine-et-Loire,MAUGES SUR LOIRE,BOUQUET.ANN@gmail.com
SARAH,MICHAUD,women,January,2008,Maine-et-Loire,MAUGES SUR LOIRE,MICHAUD.SARAH@gmail.com
VIRGINIE,GOSSELIN,man,August,2011,Meurthe-et-Moselle,VENNEZEY,GOSSELIN.VIRGINIE@gmail.com
RACHEL,ROUGIER,man,August,1987,Gers,TERRAUBE,ROUGIER.RACHEL@gmail.com
DOMINIQUE,POTTIER,women,January,1993,Ariège,CONTRAZY,POTTIER.DOMINIQUE@gmail.com
ABDELAZIZ,VIGNERON,man,September,1961,Val-d'Oise,OSNY,VIGNERON.ABDELAZIZ@gmail.com
DIDIER,VALENTIN,women,January,1989,Yvelines,MONTALET LE BOIS,VALENTIN.DIDIER@gmail.com
ODETTE,DIALLO,man,September,2014,Eure,ST PIERRE DES IFS,DIALLO.ODETTE@gmail.com
NOEL,GRANDJEAN,women,December,1968,Landes,VIELLE TURSAN,GRANDJEAN.NOEL@gmail.com
AUGUSTE,JOUBERT,man,April,1983,Isère,ST MARTIN LE VINOUX,JOUBERT.AUGUSTE@gmail.com
